Passo,Conjunto S,a,b,c,d,e,f,g,h,i,j,k
0,a,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1,"a, b",0,1.0,5.0,4.0,8.0,inf,inf,inf,inf,inf,inf
2,"a, b, c",0,1.0,2.0,4.0,8.0,2.0,inf,inf,inf,inf,inf
3,"a, b, c, f",0,1.0,2.0,4.0,8.0,2.0,4.0,inf,inf,inf,inf
4,"a, b, c, f, d",0,1.0,2.0,1.0,8.0,2.0,4.0,inf,8.0,inf,5.0
5,"a, b, c, f, d, g",0,1.0,2.0,1.0,7.0,1.0,2.0,8.0,8.0,inf,5.0
6,"a, b, c, f, d, g, h",0,1.0,2.0,1.0,7.0,1.0,2.0,1.0,5.0,inf,5.0
7,"a, b, c, f, d, g, h, i",0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,inf,5.0
8,"a, b, c, f, d, g, h, i, j",0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,2.0,3.0
9,"a, b, c, f, d, g, h, i, j, k",0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,3.0
10,"a, b, c, f, d, g, h, i, j, k, e",0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,3.0
