Passo,Conjunto S,a,b,c,d,e,f,g,h,i,j
0,a,0,inf,inf,inf,inf,inf,inf,inf,inf,inf
1,"a, d",0,3.0,9.0,2.0,inf,inf,inf,inf,inf,inf
2,"a, d, b",0,3.0,8.0,2.0,inf,inf,11.0,inf,inf,inf
3,"a, d, b, c",0,3.0,7.0,2.0,8.0,inf,11.0,inf,inf,inf
4,"a, d, b, c, e",0,3.0,7.0,2.0,8.0,9.0,11.0,inf,inf,inf
5,"a, d, b, c, e, f",0,3.0,7.0,2.0,8.0,9.0,11.0,13.0,inf,inf
6,"a, d, b, c, e, f, g",0,3.0,7.0,2.0,8.0,9.0,10.0,13.0,15.0,18.0
7,"a, d, b, c, e, f, g, i",0,3.0,7.0,2.0,8.0,9.0,10.0,13.0,12.0,18.0
8,"a, d, b, c, e, f, g, i, h",0,3.0,7.0,2.0,8.0,9.0,10.0,13.0,12.0,15.0
9,"a, d, b, c, e, f, g, i, h, j",0,3.0,7.0,2.0,8.0,9.0,10.0,13.0,12.0,15.0
